difficulty,questionText
MEDIUM,What is a Kubernetes node?
MEDIUM,What is a Kubernetes pod?
MEDIUM,What is a Kubernetes deployment?
MEDIUM,What is a Kubernetes ReplicaSet?
MEDIUM,What is a Kubernetes Service?
MEDIUM,What is Kubernetes ConfigMap?
MEDIUM,What is Kubernetes Secret?
MEDIUM,What is Kubernetes namespace?
MEDIUM,What is Kubernetes ingress?
MEDIUM,What is Kubernetes rolling deployment?
MEDIUM,What is Kubernetes self-healing?
MEDIUM,What is Infrastructure as Code?
MEDIUM,What is Terraform state?
MEDIUM,What is a Terraform provider?
MEDIUM,What is a Terraform resource?
MEDIUM,What is terraform plan?
MEDIUM,What is terraform apply?
MEDIUM,What is Ansible?
MEDIUM,What is an Ansible playbook?
MEDIUM,What is configuration management?
HARD,Design a complete CI/CD pipeline for a Spring Boot application.
HARD,How would you build and test a Java application automatically after every Git push?
HARD,How would you design a Jenkins pipeline for build test Docker image creation and deployment?
HARD,How would you securely store database passwords in a CI/CD pipeline?
HARD,How would you prevent secrets from appearing in Jenkins logs?
HARD,How would you handle a failed deployment in production?
HARD,How would you implement automatic rollback in a CI/CD pipeline?
HARD,How would you design a zero-downtime deployment strategy?
HARD,Compare rolling blue-green and canary deployments.
HARD,How would you implement a canary deployment?
HARD,How would you monitor a deployment and automatically stop it when errors increase?
HARD,How would you design CI/CD for multiple environments such as development testing staging and production?
HARD,How would you promote the same build artifact from staging to production?
HARD,Why is building once and deploying the same artifact important?
HARD,How would you handle database migrations during application deployment?
HARD,How would you containerize a Spring Boot application efficiently?
HARD,How would you create a production-ready Dockerfile for Spring Boot?
HARD,Why are multi-stage Docker builds useful?
HARD,How would you reduce the size and security risks of a Docker image?
HARD,How would you troubleshoot a container that starts and immediately stops?
HARD,How would you troubleshoot a Docker container that cannot connect to a database?
HARD,How would you design Docker networking for multiple application containers?
HARD,How would you persist data when a Docker container is deleted?
HARD,How would you scan Docker images for vulnerabilities?
HARD,How would you deploy a containerized Spring Boot application to Kubernetes?
HARD,How would you expose a Kubernetes application to users?
HARD,Explain the complete flow from Kubernetes Deployment to running Pods.
HARD,How does Kubernetes maintain the desired number of replicas?
HARD,How does Kubernetes perform a rolling update?
HARD,How would you perform a rollback in Kubernetes?
HARD,How would you configure environment variables in Kubernetes?
HARD,How would you securely provide database credentials to a Kubernetes application?
HARD,How would you troubleshoot a Kubernetes Pod stuck in CrashLoopBackOff?
HARD,How would you troubleshoot a Kubernetes Pod stuck in Pending state?
HARD,How would you troubleshoot a Kubernetes Service that cannot reach Pods?
HARD,What is the difference between liveness and readiness probes?
HARD,How do liveness and readiness probes improve production reliability?
HARD,How would you scale a Kubernetes application automatically?
HARD,What is Horizontal Pod Autoscaling?
HARD,How would you design Kubernetes for high availability?
HARD,How would you manage infrastructure using Terraform?
HARD,How would you structure Terraform code for multiple environments?
HARD,How should Terraform state be stored in a team environment?
HARD,What is Terraform state locking and why is it important?
HARD,How would you safely manage infrastructure changes using Terraform?
HARD,How would you use Ansible to configure multiple servers?
HARD,What is the difference between configuration management and Infrastructure as Code?
HARD,How would you design monitoring and logging for a production application?
HARD,How would you investigate a sudden increase in application latency using logs metrics and traces?
HARD,How would you design a complete production DevOps architecture for a Spring Boot application?
